Ticket_ID,Created_Date,Closed_Date,Office,Category,Priority,Status,Assigned_Team,Days_Open,SLA_Target_Days,SLA_Status,Customer_Type,Aging_Bucket
TCK-10045,2025-07-12,2025-07-22,Policy,Data Correction,Low,Closed,Tier 1 Support,10,10,Met,Internal User,8-14 days
TCK-10046,2026-03-15,2026-03-24,Policy,Data Correction,Medium,Closed,Tier 1 Support,9,7,Missed,Leadership Office,8-14 days
TCK-10047,2025-07-20,2025-07-31,Program Management,Account Access,Medium,Closed,Systems Team,11,7,Missed,Leadership Office,8-14 days
TCK-10048,2025-05-25,,Policy,Training Request,Medium,Escalated,Reporting Team,340,7,Missed,Internal User,15+ days
TCK-10049,2025-03-09,2025-03-15,Policy,Report Request,Medium,Closed,Reporting Team,6,7,Met,Leadership Office,4-7 days
TCK-10050,2025-03-25,2025-03-30,Program Management,Report Request,Medium,Closed,Tier 2 Support,5,7,Met,Internal User,4-7 days
TCK-10051,2025-04-22,,IT Services,Account Access,High,Open,Tier 2 Support,373,4,Missed,Program Office,15+ days
TCK-10052,2025-08-07,,Human Resources,Account Access,Medium,Open,CRM Admin,266,7,Missed,Program Office,15+ days
TCK-10053,2025-04-02,,Program Management,Data Correction,High,Open,Reporting Team,393,4,Missed,Internal User,15+ days
TCK-10054,2025-01-18,2025-01-25,Finance,User Permissions,Low,Closed,Systems Team,7,10,Met,Internal User,4-7 days
TCK-10055,2025-12-01,2025-12-09,Human Resources,System Error,High,Closed,Reporting Team,8,4,Missed,Program Office,8-14 days
TCK-10056,2025-11-20,2025-11-25,Human Resources,Account Access,Medium,Closed,Tier 1 Support,5,7,Met,Internal User,4-7 days
TCK-10057,2025-09-08,,IT Services,System Error,Medium,Pending Customer,CRM Admin,234,7,Missed,Leadership Office,15+ days
TCK-10058,2026-01-17,2026-01-28,Program Management,System Error,Low,Closed,Reporting Team,11,10,Missed,Program Office,8-14 days
TCK-10059,2025-10-20,2025-10-26,IT Services,Data Correction,Low,Closed,Reporting Team,6,10,Met,Leadership Office,4-7 days
TCK-10060,2025-01-11,2025-01-11,IT Services,System Error,Medium,Closed,Tier 1 Support,0,7,Met,Leadership Office,0-3 days
TCK-10061,2026-03-05,2026-03-11,Operations,User Permissions,Medium,Closed,Tier 1 Support,6,7,Met,Internal User,4-7 days
TCK-10062,2026-03-18,,IT Services,System Error,Medium,Open,CRM Admin,43,7,Missed,Internal User,15+ days
TCK-10063,2025-01-21,2025-01-31,Human Resources,Account Access,Low,Closed,Tier 1 Support,10,10,Met,Leadership Office,8-14 days
TCK-10064,2025-06-02,2025-06-11,Program Management,User Permissions,Medium,Closed,Tier 1 Support,9,7,Missed,Internal User,8-14 days
TCK-10065,2025-06-03,,IT Services,System Error,Low,Escalated,Tier 2 Support,331,10,Missed,Leadership Office,15+ days
TCK-10066,2025-09-09,2025-09-13,Finance,Training Request,Medium,Closed,Systems Team,4,7,Met,Leadership Office,4-7 days
TCK-10067,2025-04-18,2025-04-24,Operations,Report Request,Medium,Closed,Tier 2 Support,6,7,Met,Internal User,4-7 days
TCK-10068,2025-11-05,2025-11-11,Finance,Data Correction,Medium,Closed,Systems Team,6,7,Met,Program Office,4-7 days
TCK-10069,2025-02-08,2025-02-12,Program Management,Account Access,Medium,Closed,CRM Admin,4,7,Met,Leadership Office,4-7 days
TCK-10070,2025-08-06,,Operations,Account Access,High,Open,CRM Admin,267,4,Missed,Leadership Office,15+ days
TCK-10071,2025-12-23,2025-12-25,IT Services,Training Request,Medium,Closed,Tier 2 Support,2,7,Met,Program Office,0-3 days
TCK-10072,2026-02-25,,Program Management,System Error,Low,Escalated,Tier 1 Support,64,10,Missed,Leadership Office,15+ days
TCK-10073,2025-05-07,,Human Resources,Report Request,Low,Open,Tier 1 Support,358,10,Missed,Program Office,15+ days
TCK-10074,2025-06-20,,Operations,Report Request,High,Open,Tier 1 Support,314,4,Missed,Internal User,15+ days
TCK-10075,2025-07-13,2025-07-20,Human Resources,Data Correction,Critical,Closed,Systems Team,7,2,Missed,Leadership Office,4-7 days
TCK-10076,2026-03-25,,Program Management,Account Access,Medium,Pending Customer,Systems Team,36,7,Missed,Program Office,15+ days
TCK-10077,2025-12-25,2025-12-30,Human Resources,Data Correction,Medium,Closed,CRM Admin,5,7,Met,Program Office,4-7 days
TCK-10078,2025-04-03,2025-04-10,IT Services,Training Request,Medium,Closed,Systems Team,7,7,Met,Program Office,4-7 days
TCK-10079,2025-09-02,2025-09-06,Policy,Data Correction,Medium,Closed,Tier 2 Support,4,7,Met,Program Office,4-7 days
TCK-10080,2025-10-18,,Policy,User Permissions,High,Open,CRM Admin,194,4,Missed,Leadership Office,15+ days
TCK-10081,2026-02-03,2026-02-10,Finance,System Error,Low,Closed,Systems Team,7,10,Met,Program Office,4-7 days
TCK-10082,2025-05-22,2025-05-22,Policy,Data Correction,Critical,Closed,CRM Admin,0,2,Met,Leadership Office,0-3 days
TCK-10083,2026-03-16,2026-03-24,Policy,Account Access,Low,Closed,Tier 1 Support,8,10,Met,Leadership Office,8-14 days
TCK-10084,2025-05-03,,Human Resources,Account Access,High,Open,CRM Admin,362,4,Missed,Leadership Office,15+ days
TCK-10085,2025-09-10,,Policy,Data Correction,High,Open,Reporting Team,232,4,Missed,Program Office,15+ days
TCK-10086,2025-09-21,2025-09-25,IT Services,User Permissions,Medium,Closed,Tier 1 Support,4,7,Met,Program Office,4-7 days
TCK-10087,2025-01-08,,Policy,Training Request,Medium,Pending Customer,CRM Admin,477,7,Missed,Internal User,15+ days
TCK-10088,2026-01-14,,IT Services,User Permissions,Medium,Escalated,Systems Team,106,7,Missed,Internal User,15+ days
TCK-10089,2025-11-07,,Operations,Data Correction,Medium,Open,Tier 1 Support,174,7,Missed,Program Office,15+ days
TCK-10090,2026-03-06,2026-03-11,Human Resources,System Error,Low,Closed,Reporting Team,5,10,Met,Program Office,4-7 days
TCK-10091,2025-03-29,,IT Services,Account Access,Medium,Open,CRM Admin,397,7,Missed,Program Office,15+ days
TCK-10092,2025-09-05,2025-09-09,Policy,User Permissions,Medium,Closed,Systems Team,4,7,Met,Program Office,4-7 days
TCK-10093,2025-04-22,,Human Resources,System Error,High,Escalated,Systems Team,373,4,Missed,Program Office,15+ days
TCK-10094,2025-01-30,2025-02-04,Finance,Report Request,Medium,Closed,CRM Admin,5,7,Met,Internal User,4-7 days
TCK-10095,2025-01-03,2025-01-08,Program Management,System Error,Medium,Closed,Tier 2 Support,5,7,Met,Internal User,4-7 days
TCK-10096,2025-09-28,,Human Resources,System Error,Medium,Open,Tier 1 Support,214,7,Missed,Internal User,15+ days
TCK-10097,2026-01-29,2026-02-01,Program Management,Data Correction,Medium,Closed,Systems Team,3,7,Met,Program Office,0-3 days
TCK-10098,2025-02-25,2025-02-28,Program Management,Data Correction,Critical,Closed,Tier 2 Support,3,2,Missed,Program Office,0-3 days
TCK-10099,2026-01-18,2026-01-25,Operations,Report Request,Medium,Closed,Tier 1 Support,7,7,Met,Internal User,4-7 days
TCK-10100,2025-07-22,2025-07-26,Human Resources,Data Correction,Medium,Closed,Tier 2 Support,4,7,Met,Program Office,4-7 days
TCK-10101,2025-12-07,,Policy,User Permissions,Critical,Open,Tier 2 Support,144,2,Missed,Program Office,15+ days
TCK-10102,2026-01-20,,IT Services,User Permissions,High,Pending Customer,Reporting Team,100,4,Missed,Internal User,15+ days
TCK-10103,2025-02-26,2025-03-01,Human Resources,User Permissions,Critical,Closed,Tier 2 Support,3,2,Missed,Internal User,0-3 days
TCK-10104,2025-12-14,2025-12-19,IT Services,User Permissions,High,Closed,Tier 1 Support,5,4,Missed,Program Office,4-7 days
TCK-10105,2025-09-03,2025-09-09,Operations,User Permissions,Medium,Closed,Systems Team,6,7,Met,Internal User,4-7 days
TCK-10106,2025-05-08,,Finance,User Permissions,Medium,Open,Tier 2 Support,357,7,Missed,Leadership Office,15+ days
TCK-10107,2026-02-25,2026-03-03,Policy,Training Request,Medium,Closed,Systems Team,6,7,Met,Internal User,4-7 days
TCK-10108,2025-04-07,2025-04-07,Policy,Data Correction,Critical,Closed,Tier 2 Support,0,2,Met,Internal User,0-3 days
TCK-10109,2025-03-09,2025-03-15,Human Resources,Training Request,Medium,Closed,Tier 2 Support,6,7,Met,Internal User,4-7 days
TCK-10110,2026-03-19,2026-03-28,Finance,User Permissions,Low,Closed,Tier 2 Support,9,10,Met,Internal User,8-14 days
TCK-10111,2025-06-22,,Human Resources,Report Request,Medium,Open,CRM Admin,312,7,Missed,Program Office,15+ days
TCK-10112,2025-06-29,2025-07-03,Human Resources,Data Correction,High,Closed,Tier 1 Support,4,4,Met,Internal User,4-7 days
TCK-10113,2025-01-27,2025-02-01,IT Services,Account Access,Medium,Closed,Reporting Team,5,7,Met,Internal User,4-7 days
TCK-10114,2025-05-10,2025-05-16,Finance,Account Access,High,Closed,Tier 1 Support,6,4,Missed,Leadership Office,4-7 days
TCK-10115,2025-01-07,2025-01-14,Finance,User Permissions,Medium,Closed,Systems Team,7,7,Met,Leadership Office,4-7 days
TCK-10116,2025-11-06,2025-11-14,Operations,Training Request,Medium,Closed,Reporting Team,8,7,Missed,Internal User,8-14 days
TCK-10117,2026-03-31,2026-04-07,Policy,Data Correction,Low,Closed,Tier 2 Support,7,10,Met,Leadership Office,4-7 days
TCK-10118,2025-08-17,,IT Services,Training Request,High,Open,CRM Admin,256,4,Missed,Program Office,15+ days
TCK-10119,2026-01-07,2026-01-11,Operations,Data Correction,Medium,Closed,Reporting Team,4,7,Met,Leadership Office,4-7 days
TCK-10120,2025-12-31,,IT Services,Report Request,Medium,Pending Customer,CRM Admin,120,7,Missed,Program Office,15+ days
TCK-10121,2025-11-19,,IT Services,Account Access,High,Pending Customer,Tier 2 Support,162,4,Missed,Leadership Office,15+ days
TCK-10122,2025-05-21,,Human Resources,Training Request,Medium,Open,Tier 1 Support,344,7,Missed,Leadership Office,15+ days
TCK-10123,2025-04-08,2025-04-09,Human Resources,Data Correction,High,Closed,Reporting Team,1,4,Met,Leadership Office,0-3 days
TCK-10124,2025-07-16,2025-07-16,IT Services,Report Request,Medium,Closed,Tier 2 Support,0,7,Met,Internal User,0-3 days
TCK-10125,2025-01-02,2025-01-07,IT Services,System Error,Low,Closed,Systems Team,5,10,Met,Leadership Office,4-7 days
TCK-10126,2026-01-04,2026-01-04,Operations,Report Request,Medium,Closed,CRM Admin,0,7,Met,Leadership Office,0-3 days
TCK-10127,2025-03-02,,Operations,Report Request,Low,Open,Tier 2 Support,424,10,Missed,Program Office,15+ days
TCK-10128,2026-03-24,2026-03-28,Operations,Data Correction,High,Closed,Systems Team,4,4,Met,Internal User,4-7 days
TCK-10129,2025-01-01,2025-01-09,Policy,Training Request,Medium,Closed,CRM Admin,8,7,Missed,Leadership Office,8-14 days
TCK-10130,2025-03-10,2025-03-15,Finance,Account Access,Medium,Closed,Tier 1 Support,5,7,Met,Program Office,4-7 days
TCK-10131,2025-04-23,2025-04-26,Policy,Training Request,High,Closed,Tier 1 Support,3,4,Met,Leadership Office,0-3 days
TCK-10132,2026-01-17,,Finance,User Permissions,Medium,Escalated,Systems Team,103,7,Missed,Leadership Office,15+ days
TCK-10133,2025-04-16,2025-04-19,Program Management,Data Correction,High,Closed,Reporting Team,3,4,Met,Internal User,0-3 days
TCK-10134,2026-01-09,2026-01-16,Program Management,Account Access,High,Closed,Reporting Team,7,4,Missed,Internal User,4-7 days
TCK-10135,2025-08-24,,Policy,Data Correction,Low,Pending Customer,CRM Admin,249,10,Missed,Internal User,15+ days
TCK-10136,2025-06-08,,Program Management,User Permissions,Low,Open,Systems Team,326,10,Missed,Internal User,15+ days
TCK-10137,2025-02-05,2025-02-08,Program Management,Account Access,Low,Closed,Systems Team,3,10,Met,Internal User,0-3 days
TCK-10138,2026-01-08,,Human Resources,System Error,High,Open,Reporting Team,112,4,Missed,Internal User,15+ days
TCK-10139,2025-02-26,2025-03-01,Operations,Account Access,High,Closed,CRM Admin,3,4,Met,Internal User,0-3 days
TCK-10140,2025-11-18,2025-11-23,Human Resources,Account Access,Medium,Closed,Systems Team,5,7,Met,Leadership Office,4-7 days
TCK-10141,2026-02-23,2026-03-02,IT Services,System Error,Medium,Closed,Tier 2 Support,7,7,Met,Program Office,4-7 days
TCK-10142,2025-06-19,2025-06-28,IT Services,User Permissions,Medium,Closed,CRM Admin,9,7,Missed,Leadership Office,8-14 days
TCK-10143,2025-10-06,,IT Services,System Error,Low,Pending Customer,Tier 2 Support,206,10,Missed,Internal User,15+ days
TCK-10144,2025-04-25,2025-05-04,Operations,Report Request,Low,Closed,CRM Admin,9,10,Met,Internal User,8-14 days
TCK-10145,2026-03-27,2026-03-31,Program Management,Data Correction,Medium,Closed,Tier 1 Support,4,7,Met,Internal User,4-7 days
TCK-10146,2025-02-22,2025-02-22,Human Resources,Training Request,Critical,Closed,CRM Admin,0,2,Met,Internal User,0-3 days
TCK-10147,2025-07-04,,Operations,System Error,High,Pending Customer,Systems Team,300,4,Missed,Program Office,15+ days
TCK-10148,2025-11-04,2025-11-09,Policy,User Permissions,Low,Closed,CRM Admin,5,10,Met,Leadership Office,4-7 days
TCK-10149,2026-02-23,,Finance,Report Request,Medium,Pending Customer,Tier 1 Support,66,7,Missed,Internal User,15+ days
TCK-10150,2026-03-18,,Policy,Data Correction,High,Open,CRM Admin,43,4,Missed,Internal User,15+ days
TCK-10151,2025-07-19,2025-07-30,Human Resources,Training Request,Medium,Closed,Reporting Team,11,7,Missed,Leadership Office,8-14 days
TCK-10152,2025-05-23,2025-05-30,Operations,Data Correction,Low,Closed,Reporting Team,7,10,Met,Program Office,4-7 days
TCK-10153,2025-06-13,2025-06-23,Policy,Report Request,Medium,Closed,Tier 2 Support,10,7,Missed,Leadership Office,8-14 days
TCK-10154,2025-05-06,2025-05-11,IT Services,Training Request,Medium,Closed,Reporting Team,5,7,Met,Leadership Office,4-7 days
TCK-10155,2025-10-02,2025-10-03,IT Services,User Permissions,High,Closed,Tier 2 Support,1,4,Met,Leadership Office,0-3 days
TCK-10156,2025-02-14,,Human Resources,Report Request,Low,Open,Systems Team,440,10,Missed,Program Office,15+ days
TCK-10157,2025-03-10,,Operations,Report Request,High,Open,Reporting Team,416,4,Missed,Internal User,15+ days
TCK-10158,2026-03-04,,Program Management,Data Correction,High,Escalated,Tier 2 Support,57,4,Missed,Internal User,15+ days
TCK-10159,2025-01-29,,Policy,Account Access,High,Open,Reporting Team,456,4,Missed,Program Office,15+ days
TCK-10160,2025-01-28,2025-01-30,Human Resources,System Error,High,Closed,Systems Team,2,4,Met,Internal User,0-3 days
TCK-10161,2025-01-16,,Program Management,Data Correction,Low,Open,Tier 2 Support,469,10,Missed,Program Office,15+ days
TCK-10162,2026-01-16,2026-01-24,Finance,System Error,Low,Closed,Reporting Team,8,10,Met,Leadership Office,8-14 days
TCK-10163,2025-06-22,2025-06-29,Human Resources,User Permissions,Medium,Closed,Tier 1 Support,7,7,Met,Leadership Office,4-7 days
TCK-10164,2026-01-20,,Program Management,System Error,Low,Open,Reporting Team,100,10,Missed,Leadership Office,15+ days
TCK-10165,2025-12-31,,Program Management,Data Correction,High,Pending Customer,CRM Admin,120,4,Missed,Internal User,15+ days
TCK-10166,2025-09-25,,Policy,Data Correction,Medium,Escalated,Reporting Team,217,7,Missed,Leadership Office,15+ days
TCK-10167,2025-01-29,,Human Resources,User Permissions,Low,Open,Reporting Team,456,10,Missed,Program Office,15+ days
TCK-10168,2025-06-10,2025-06-12,Program Management,Data Correction,Medium,Closed,Tier 1 Support,2,7,Met,Program Office,0-3 days
TCK-10169,2025-11-28,2025-12-06,Finance,Account Access,Medium,Closed,Tier 2 Support,8,7,Missed,Program Office,8-14 days
TCK-10170,2025-03-25,,IT Services,Account Access,Medium,Open,CRM Admin,401,7,Missed,Internal User,15+ days
TCK-10171,2025-10-10,,IT Services,Training Request,Low,Escalated,Tier 1 Support,202,10,Missed,Leadership Office,15+ days
TCK-10172,2026-02-09,,Human Resources,Report Request,Medium,Open,Tier 1 Support,80,7,Missed,Program Office,15+ days
TCK-10173,2026-01-20,2026-01-27,Policy,Report Request,Medium,Closed,Tier 2 Support,7,7,Met,Leadership Office,4-7 days
TCK-10174,2025-12-12,2025-12-24,Policy,Training Request,Low,Closed,Tier 1 Support,12,10,Missed,Leadership Office,8-14 days
TCK-10175,2026-02-18,,Human Resources,Report Request,High,Open,Tier 2 Support,71,4,Missed,Internal User,15+ days
TCK-10176,2025-12-16,,Human Resources,User Permissions,Medium,Pending Customer,Tier 2 Support,135,7,Missed,Internal User,15+ days
TCK-10177,2026-02-18,,IT Services,Training Request,Medium,Open,Systems Team,71,7,Missed,Leadership Office,15+ days
TCK-10178,2025-09-25,2025-09-25,Operations,Report Request,High,Closed,CRM Admin,0,4,Met,Program Office,0-3 days
TCK-10179,2025-11-16,2025-11-24,Program Management,Data Correction,High,Closed,Tier 2 Support,8,4,Missed,Leadership Office,8-14 days
TCK-10180,2025-11-07,,Policy,System Error,Low,Open,Tier 1 Support,174,10,Missed,Internal User,15+ days
TCK-10181,2025-03-15,2025-03-22,Human Resources,System Error,High,Closed,Tier 1 Support,7,4,Missed,Program Office,4-7 days
TCK-10182,2025-06-10,2025-06-14,Human Resources,Report Request,Low,Closed,Systems Team,4,10,Met,Program Office,4-7 days
TCK-10183,2025-06-30,,Program Management,Report Request,Low,Open,Reporting Team,304,10,Missed,Leadership Office,15+ days
TCK-10184,2025-03-13,,Program Management,Account Access,High,Escalated,CRM Admin,413,4,Missed,Program Office,15+ days
TCK-10185,2025-07-25,2025-07-29,IT Services,Training Request,Medium,Closed,CRM Admin,4,7,Met,Program Office,4-7 days
TCK-10186,2025-02-12,2025-02-15,Finance,User Permissions,Medium,Closed,Tier 1 Support,3,7,Met,Leadership Office,0-3 days
TCK-10187,2025-11-26,2025-12-02,Operations,Account Access,Low,Closed,CRM Admin,6,10,Met,Program Office,4-7 days
TCK-10188,2025-03-23,,Operations,System Error,Medium,Pending Customer,Reporting Team,403,7,Missed,Leadership Office,15+ days
TCK-10189,2025-02-17,2025-02-17,Human Resources,Account Access,Medium,Closed,Tier 2 Support,0,7,Met,Leadership Office,0-3 days
TCK-10190,2025-02-25,,Program Management,Data Correction,High,Escalated,Reporting Team,429,4,Missed,Program Office,15+ days
TCK-10191,2025-02-03,,Program Management,Account Access,Medium,Escalated,CRM Admin,451,7,Missed,Program Office,15+ days
TCK-10192,2025-01-20,,Operations,User Permissions,Medium,Escalated,Tier 2 Support,465,7,Missed,Program Office,15+ days
TCK-10193,2025-10-18,2025-10-20,Finance,System Error,Low,Closed,Reporting Team,2,10,Met,Internal User,0-3 days
TCK-10194,2025-01-28,,Policy,System Error,Low,Open,CRM Admin,457,10,Missed,Program Office,15+ days
TCK-10195,2025-11-22,,Policy,System Error,Low,Open,Reporting Team,159,10,Missed,Leadership Office,15+ days
TCK-10196,2025-04-20,2025-04-27,Human Resources,Account Access,Medium,Closed,Reporting Team,7,7,Met,Program Office,4-7 days
TCK-10197,2026-01-21,,IT Services,User Permissions,Medium,Open,Tier 2 Support,99,7,Missed,Leadership Office,15+ days
TCK-10198,2025-08-12,2025-08-16,Program Management,Account Access,Medium,Closed,Systems Team,4,7,Met,Leadership Office,4-7 days
TCK-10199,2025-04-12,2025-04-18,Policy,User Permissions,Low,Closed,CRM Admin,6,10,Met,Internal User,4-7 days
TCK-10200,2025-03-19,,Program Management,Report Request,High,Escalated,Tier 1 Support,407,4,Missed,Leadership Office,15+ days
TCK-10201,2025-07-28,2025-08-10,Operations,User Permissions,Medium,Closed,Reporting Team,13,7,Missed,Leadership Office,8-14 days
TCK-10202,2025-10-24,2025-10-31,Operations,System Error,Low,Closed,Systems Team,7,10,Met,Internal User,4-7 days
TCK-10203,2025-11-04,2025-11-17,IT Services,Account Access,Medium,Closed,CRM Admin,13,7,Missed,Program Office,8-14 days
TCK-10204,2025-01-09,2025-01-12,Human Resources,User Permissions,Medium,Closed,Reporting Team,3,7,Met,Leadership Office,0-3 days
TCK-10205,2025-08-22,2025-08-29,Finance,Account Access,Medium,Closed,Tier 2 Support,7,7,Met,Program Office,4-7 days
TCK-10206,2025-08-08,2025-08-11,Operations,Training Request,Medium,Closed,Reporting Team,3,7,Met,Program Office,0-3 days
TCK-10207,2025-05-26,2025-05-27,IT Services,Account Access,High,Closed,Tier 1 Support,1,4,Met,Internal User,0-3 days
TCK-10208,2025-02-15,2025-02-21,Program Management,Account Access,Medium,Closed,Reporting Team,6,7,Met,Leadership Office,4-7 days
TCK-10209,2026-01-20,2026-01-23,Human Resources,User Permissions,Medium,Closed,CRM Admin,3,7,Met,Program Office,0-3 days
TCK-10210,2025-04-19,2025-04-24,Program Management,Account Access,Low,Closed,Tier 2 Support,5,10,Met,Program Office,4-7 days
TCK-10211,2025-03-05,2025-03-05,Policy,User Permissions,Medium,Closed,Reporting Team,0,7,Met,Internal User,0-3 days
TCK-10212,2025-07-11,2025-07-16,Finance,User Permissions,High,Closed,CRM Admin,5,4,Missed,Program Office,4-7 days
TCK-10213,2026-03-06,,Program Management,Account Access,High,Pending Customer,Tier 1 Support,55,4,Missed,Internal User,15+ days
TCK-10214,2025-03-20,,IT Services,User Permissions,High,Pending Customer,Systems Team,406,4,Missed,Program Office,15+ days
TCK-10215,2025-06-21,2025-06-25,Program Management,Data Correction,Low,Closed,Systems Team,4,10,Met,Leadership Office,4-7 days
TCK-10216,2025-07-21,2025-07-26,IT Services,System Error,High,Closed,Tier 2 Support,5,4,Missed,Leadership Office,4-7 days
TCK-10217,2025-07-19,,Program Management,Data Correction,Critical,Open,Tier 1 Support,285,2,Missed,Leadership Office,15+ days
TCK-10218,2026-02-15,,IT Services,System Error,Low,Open,CRM Admin,74,10,Missed,Leadership Office,15+ days
TCK-10219,2025-03-23,2025-03-29,Policy,Training Request,High,Closed,Tier 2 Support,6,4,Missed,Internal User,4-7 days
TCK-10220,2025-11-13,,Human Resources,Training Request,High,Escalated,Reporting Team,168,4,Missed,Internal User,15+ days
TCK-10221,2026-01-16,,Operations,Data Correction,High,Escalated,Tier 2 Support,104,4,Missed,Program Office,15+ days
